,,,,,,,Daily Price Arrival Report-07-11-2025 to 11-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,8.40,Metric Tonnes,30-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,22.10,Metric Tonnes,29-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,17.20,Metric Tonnes,28-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,38.60,Metric Tonnes,27-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,27.20,Metric Tonnes,24-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,20.90,Metric Tonnes,23-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,25.00,Metric Tonnes,22-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,11.20,Metric Tonnes,21-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,22.60,Metric Tonnes,20-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,20.80,Metric Tonnes,18-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,26.20,Metric Tonnes,17-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,12.00,Metric Tonnes,16-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,23.60,Metric Tonnes,15-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,19.20,Metric Tonnes,14-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,31.80,Metric Tonnes,13-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,15.40,Metric Tonnes,11-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,23.10,Metric Tonnes,10-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,16.80,Metric Tonnes,09-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,24.30,Metric Tonnes,08-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,22.90,Metric Tonnes,07-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,24.50,Metric Tonnes,06-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,22.60,Metric Tonnes,04-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,29.70,Metric Tonnes,03-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,16.10,Metric Tonnes,02-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,500.00","3,500.00","3,000.00",Rs./Quintal,36.30,Metric Tonnes,01-06-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","3,500.00","2,500.00",Rs./Quintal,11.50,Metric Tonnes,31-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","3,500.00","2,500.00",Rs./Quintal,26.40,Metric Tonnes,30-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,500.00","3,500.00","3,000.00",Rs./Quintal,23.70,Metric Tonnes,27-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,24.30,Metric Tonnes,26-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,500.00","2,700.00",Rs./Quintal,29.40,Metric Tonnes,25-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,15.30,Metric Tonnes,24-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","3,000.00","2,200.00",Rs./Quintal,25.10,Metric Tonnes,23-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,21.20,Metric Tonnes,21-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,27.30,Metric Tonnes,20-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,23.50,Metric Tonnes,19-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,28.70,Metric Tonnes,18-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","3,000.00","2,300.00",Rs./Quintal,13.80,Metric Tonnes,17-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,21.50,Metric Tonnes,16-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,9.00,Metric Tonnes,14-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,21.40,Metric Tonnes,13-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,25.50,Metric Tonnes,12-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,25.90,Metric Tonnes,11-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,800.00","3,000.00","2,400.00",Rs./Quintal,9.60,Metric Tonnes,10-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,20.10,Metric Tonnes,09-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,16.10,Metric Tonnes,07-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,20.60,Metric Tonnes,06-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,18.50,Metric Tonnes,05-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,22.50,Metric Tonnes,04-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,13.00,Metric Tonnes,03-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","3,000.00","2,000.00",Rs./Quintal,4.20,Metric Tonnes,02-05-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,11.80,Metric Tonnes,30-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,18.80,Metric Tonnes,29-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,17.60,Metric Tonnes,28-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,27.60,Metric Tonnes,27-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,23.60,Metric Tonnes,26-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,21.20,Metric Tonnes,25-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,17.50,Metric Tonnes,23-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,30.90,Metric Tonnes,22-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,900.00,"1,800.00","1,400.00",Rs./Quintal,17.20,Metric Tonnes,21-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,26.00,Metric Tonnes,20-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,23.60,Metric Tonnes,19-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,29.70,Metric Tonnes,18-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,18.70,Metric Tonnes,16-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,23.10,Metric Tonnes,15-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,23.60,Metric Tonnes,14-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.10,Metric Tonnes,13-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,19.70,Metric Tonnes,12-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,26.60,Metric Tonnes,11-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,19.90,Metric Tonnes,09-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,18.90,Metric Tonnes,08-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,600.00,"1,800.00","1,200.00",Rs./Quintal,17.00,Metric Tonnes,07-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,27.80,Metric Tonnes,06-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,16.10,Metric Tonnes,05-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,30.30,Metric Tonnes,04-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,15.00,Metric Tonnes,02-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.80,Metric Tonnes,01-04-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,15.30,Metric Tonnes,31-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,33.40,Metric Tonnes,30-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,16.60,Metric Tonnes,29-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.30,Metric Tonnes,28-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,9.70,Metric Tonnes,26-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.20,Metric Tonnes,25-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,18.50,Metric Tonnes,24-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,38.50,Metric Tonnes,23-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,19.90,Metric Tonnes,22-03-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,18.50,Metric Tonnes,19-03-2026
