,,,,All Type of Report (All Grades) for 09-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Onion,31-08-2021,118.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-09-2021,14.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,02-09-2021,175.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,09-09-2021,313.00,Metric Tonnes,1250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,11-09-2021,548.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,13-09-2021,283.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,14-09-2021,109.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,15-09-2021,211.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,16-09-2021,173.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,17-09-2021,230.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,18-09-2021,270.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,20-09-2021,83.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,21-09-2021,259.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,22-09-2021,447.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,23-09-2021,302.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,24-09-2021,247.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,25-09-2021,267.00,Metric Tonnes,1425.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,27-09-2021,334.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,28-09-2021,171.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,29-09-2021,313.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,30-09-2021,221.00,Metric Tonnes,1695.70,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-10-2021,247.00,Metric Tonnes,2150.00,Rs./Quintal
