,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Tomato,12-12-2021,2.00,Metric Tonnes,3750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-12-2021,5.00,Metric Tonnes,3250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-12-2021,9.00,Metric Tonnes,3305.56,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-12-2021,5.00,Metric Tonnes,2990.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,17-12-2021,5.00,Metric Tonnes,2640.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-12-2021,3.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-12-2021,5.00,Metric Tonnes,3170.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-12-2021,2.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-12-2021,11.00,Metric Tonnes,3136.36,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-12-2021,4.00,Metric Tonnes,3300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,24-12-2021,10.00,Metric Tonnes,2955.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-12-2021,2.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-12-2021,9.00,Metric Tonnes,3244.44,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-12-2021,4.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-12-2021,9.00,Metric Tonnes,3211.11,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-12-2021,5.00,Metric Tonnes,3370.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,31-12-2021,11.00,Metric Tonnes,3122.73,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-01-2022,3.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-01-2022,7.00,Metric Tonnes,2714.29,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,03-01-2022,4.00,Metric Tonnes,1950.00,Rs./Quintal
