,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Kolhapur,Vegetables,Tomato,13-05-2021,73.00,Metric Tonnes,950.68,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-05-2021,94.00,Metric Tonnes,618.51,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-05-2021,59.00,Metric Tonnes,904.24,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,26-05-2021,37.00,Metric Tonnes,1050.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,27-05-2021,70.00,Metric Tonnes,953.57,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-05-2021,5.00,Metric Tonnes,350.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-05-2021,105.00,Metric Tonnes,685.71,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,30-05-2021,24.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,31-05-2021,49.00,Metric Tonnes,721.43,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,01-06-2021,47.00,Metric Tonnes,827.66,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-06-2021,49.00,Metric Tonnes,798.98,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-06-2021,50.00,Metric Tonnes,770.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-06-2021,7.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-06-2021,71.00,Metric Tonnes,833.10,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-06-2021,41.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-06-2021,75.00,Metric Tonnes,844.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-06-2021,64.00,Metric Tonnes,657.81,Rs./Quintal
